epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,16977.3,0.84589,2.96589,0.25811,0.60146,1.28302,0.96513,0.97579,0.98973,0.83754,0.84592,0.80597,0.78985,0.57752,0.67845,2.25158,0.06812,0.35482,1.06653,0.00571,0.00571,0.00571
28,17463.4,0.84203,2.84546,0.2569,0.59402,1.28002,0.96565,0.97515,0.98997,0.83845,0.84786,0.79839,0.78588,0.58587,0.66936,2.23703,0.06638,0.35438,1.05687,0.005545,0.005545,0.005545
29,17951.4,0.83325,2.79483,0.25491,0.58576,1.27261,0.96892,0.9754,0.98996,0.84072,0.8506,0.80668,0.79617,0.60046,0.66293,2.17322,0.06453,0.34727,1.05129,0.00538,0.00538,0.00538
30,18485,0.83432,2.80545,0.2528,0.58749,1.27242,0.97043,0.97442,0.99014,0.84223,0.84886,0.81161,0.80284,0.60954,0.65774,2.14441,0.06436,0.35307,1.05009,0.005215,0.005215,0.005215
31,19072.2,0.83066,2.78071,0.24984,0.58791,1.27088,0.96887,0.97583,0.98996,0.84482,0.8483,0.80604,0.79282,0.60294,0.6569,2.17359,0.06524,0.34423,1.05028,0.00505,0.00505,0.00505
32,19662.4,0.82094,2.74602,0.24844,0.57858,1.26358,0.96967,0.97196,0.98993,0.84183,0.85312,0.82019,0.80329,0.61323,0.66294,2.09891,0.06106,0.34557,1.04877,0.004885,0.004885,0.004885
33,20245.9,0.81656,2.72995,0.2476,0.57826,1.26357,0.97142,0.97464,0.99005,0.83189,0.84996,0.81791,0.7993,0.60855,0.68372,2.1082,0.06288,0.35111,1.05689,0.00472,0.00472,0.00472
34,20832.3,0.81909,2.67344,0.24493,0.57537,1.26259,0.96668,0.97231,0.98967,0.8369,0.85384,0.82541,0.80939,0.62047,0.67189,2.08593,0.0616,0.34691,1.0524,0.004555,0.004555,0.004555
35,21318.2,0.81165,2.64256,0.24277,0.57246,1.25813,0.97187,0.97311,0.9901,0.84224,0.85876,0.82058,0.80895,0.62435,0.65977,2.06642,0.05904,0.33969,1.04502,0.00439,0.00439,0.00439
36,21804.3,0.80185,2.59497,0.23854,0.5592,1.24916,0.96814,0.97587,0.9901,0.84643,0.85766,0.82465,0.81378,0.62673,0.64598,2.02477,0.05912,0.33469,1.03755,0.004225,0.004225,0.004225
37,22333.5,0.80118,2.58385,0.2381,0.56081,1.25181,0.9689,0.97657,0.99033,0.84979,0.86014,0.82732,0.81557,0.62931,0.63879,2.01144,0.05806,0.33202,1.03386,0.00406,0.00406,0.00406
38,22919.2,0.79307,2.53135,0.23683,0.55888,1.24288,0.97121,0.9763,0.99051,0.84798,0.85994,0.82779,0.81609,0.63138,0.64505,2.0033,0.05782,0.33237,1.0334,0.003895,0.003895,0.003895
39,23536.3,0.79256,2.53575,0.23527,0.55089,1.2447,0.96867,0.97604,0.99048,0.84209,0.86363,0.82834,0.81713,0.63232,0.65463,1.9796,0.05783,0.3327,1.03454,0.00373,0.00373,0.00373
40,24113.9,0.78661,2.47879,0.2329,0.54918,1.23994,0.96829,0.9768,0.99056,0.8475,0.86662,0.83153,0.82539,0.63607,0.64196,1.97121,0.05569,0.32845,1.02984,0.003565,0.003565,0.003565
41,24678.2,0.7815,2.43169,0.23134,0.54535,1.23701,0.9734,0.97553,0.99068,0.84807,0.86739,0.83127,0.82481,0.63766,0.6404,1.97401,0.05465,0.32698,1.02937,0.0034,0.0034,0.0034
42,25163.5,0.77348,2.4463,0.23148,0.53881,1.23207,0.97407,0.97641,0.99072,0.84616,0.87068,0.834,0.82726,0.64063,0.64471,1.96177,0.05548,0.32871,1.03043,0.003235,0.003235,0.003235
43,25647.9,0.76968,2.40504,0.22847,0.53009,1.22617,0.97425,0.97668,0.99066,0.8466,0.86799,0.8314,0.82554,0.63986,0.64406,1.96104,0.05616,0.32727,1.02981,0.00307,0.00307,0.00307
44,26181.3,0.77013,2.3711,0.22694,0.53482,1.22608,0.97247,0.97683,0.99069,0.84872,0.86603,0.83229,0.8245,0.63992,0.64015,1.95205,0.05607,0.32517,1.02768,0.002905,0.002905,0.002905
45,26745.8,0.76085,2.33629,0.22422,0.52638,1.22289,0.97221,0.97648,0.99074,0.84959,0.86616,0.8314,0.82044,0.6412,0.63935,1.95096,0.05572,0.32422,1.02624,0.00274,0.00274,0.00274
46,27350.7,0.75622,2.3156,0.22224,0.53068,1.22102,0.97241,0.97482,0.9906,0.84851,0.86554,0.83369,0.826,0.64354,0.64251,1.94237,0.05568,0.32416,1.02667,0.002575,0.002575,0.002575
47,27964.2,0.75293,2.29896,0.22244,0.51974,1.21899,0.97266,0.97451,0.99059,0.84939,0.86747,0.83612,0.8274,0.64553,0.64023,1.93654,0.05495,0.32214,1.02487,0.00241,0.00241,0.00241
48,28491.2,0.7504,2.27675,0.22016,0.51567,1.21486,0.97353,0.97489,0.99061,0.85235,0.86964,0.83652,0.8279,0.64768,0.63426,1.92527,0.05423,0.31966,1.02126,0.002245,0.002245,0.002245
49,28974.4,0.74563,2.23675,0.21796,0.51326,1.21086,0.97493,0.97502,0.99072,0.85372,0.87062,0.83695,0.82831,0.64999,0.62897,1.91476,0.05377,0.31722,1.01875,0.00208,0.00208,0.00208
50,29485.5,0.74091,2.21628,0.21874,0.51294,1.21068,0.9755,0.97528,0.99077,0.85439,0.87043,0.83688,0.82892,0.65261,0.62627,1.90576,0.05318,0.31572,1.01756,0.001915,0.001915,0.001915
51,29957.3,0.6034,1.8808,0.08558,0.32739,1.17524,0.97542,0.97586,0.99078,0.85434,0.87216,0.83815,0.82951,0.65463,0.62631,1.8901,0.05091,0.31455,1.01642,0.00175,0.00175,0.00175
52,30446.1,0.57593,1.78366,0.08156,0.31247,1.14957,0.97543,0.97638,0.99076,0.85743,0.87328,0.83957,0.83028,0.65736,0.62037,1.87835,0.04847,0.31155,1.01331,0.001585,0.001585,0.001585
53,30940.1,0.56056,1.74281,0.07753,0.30439,1.13757,0.97536,0.97757,0.99087,0.85982,0.8758,0.84114,0.83104,0.65946,0.6131,1.86198,0.04638,0.30813,1.00942,0.00142,0.00142,0.00142
54,31446,0.5476,1.71176,0.07834,0.30182,1.12776,0.97568,0.97757,0.99091,0.86142,0.87594,0.84414,0.83973,0.66344,0.60689,1.84807,0.04472,0.30542,1.00605,0.001255,0.001255,0.001255
55,31983.9,0.54017,1.67534,0.07515,0.29343,1.12034,0.9759,0.97757,0.991,0.8624,0.87718,0.84567,0.84104,0.6679,0.60237,1.83345,0.04343,0.30306,1.00351,0.00109,0.00109,0.00109
56,32508.9,0.53419,1.63809,0.07336,0.29262,1.11466,0.97596,0.9777,0.99106,0.86385,0.87978,0.84772,0.84223,0.66958,0.59875,1.81979,0.04226,0.30117,1.00126,0.000925,0.000925,0.000925
57,32947.9,0.52436,1.61589,0.07451,0.28532,1.1098,0.97646,0.97774,0.9911,0.86481,0.88054,0.85064,0.84309,0.67153,0.59601,1.8071,0.04117,0.29948,0.99935,0.00076,0.00076,0.00076
58,33390.4,0.51509,1.57083,0.07239,0.27911,1.09963,0.97671,0.97816,0.99114,0.86608,0.88243,0.85077,0.84338,0.6727,0.59426,1.79786,0.04036,0.2984,0.99809,0.000595,0.000595,0.000595
59,33879.8,0.50945,1.55502,0.07452,0.27587,1.09454,0.97659,0.97799,0.99113,0.86627,0.88292,0.8509,0.8436,0.67348,0.59243,1.7885,0.03968,0.29696,0.9969,0.00043,0.00043,0.00043
60,34383.5,0.50365,1.51954,0.07274,0.27091,1.0913,0.97684,0.97825,0.99118,0.86751,0.88449,0.85286,0.84829,0.67498,0.5905,1.78052,0.03906,0.29553,0.99586,0.000265,0.000265,0.000265
