epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,2098.76,0.8066,0.57723,1.31424,0.05343,0.94446,0.96588,0.98137,0.79528,0.73899,0.53615,1.32129,0.03646,0.006337,0.006337,0.006337
39,2149.37,0.81585,0.5776,1.31974,0.05382,0.95926,0.95315,0.98457,0.79696,0.73337,0.48847,1.30717,0.03583,0.006238,0.006238,0.006238
40,2200.16,0.83063,0.5974,1.34245,0.054,0.97117,0.96993,0.99235,0.80449,0.70892,0.45233,1.29115,0.0388,0.006139,0.006139,0.006139
41,2250.87,0.80468,0.57018,1.31117,0.05538,0.97906,0.9529,0.98595,0.81228,0.69783,0.46334,1.30673,0.03782,0.00604,0.00604,0.00604
42,2301.52,0.79726,0.58352,1.31159,0.04992,0.9421,0.95637,0.97141,0.80688,0.72497,0.53505,1.32676,0.03768,0.005941,0.005941,0.005941
43,2352.32,0.78757,0.56604,1.3081,0.05327,0.95844,0.97058,0.98623,0.82462,0.69505,0.46129,1.29253,0.03741,0.005842,0.005842,0.005842
44,2402.1,0.79395,0.56915,1.30825,0.05432,0.96286,0.96423,0.98509,0.80009,0.71522,0.46475,1.28124,0.03707,0.005743,0.005743,0.005743
45,2452.69,0.76832,0.56232,1.28247,0.04964,0.98591,0.96786,0.98298,0.8062,0.71503,0.44703,1.30232,0.03397,0.005644,0.005644,0.005644
46,2503.27,0.79159,0.56111,1.308,0.05271,0.97394,0.96505,0.98749,0.82973,0.69003,0.46037,1.27702,0.03645,0.005545,0.005545,0.005545
47,2553.78,0.7776,0.56547,1.29005,0.05152,0.96793,0.96388,0.98954,0.80443,0.75042,0.45012,1.31699,0.03541,0.005446,0.005446,0.005446
48,2603.56,0.77581,0.55903,1.28964,0.04682,0.97396,0.95452,0.98583,0.81675,0.7115,0.45821,1.28196,0.03903,0.005347,0.005347,0.005347
49,2654.15,0.7795,0.55748,1.30898,0.05297,0.96728,0.96112,0.97983,0.81146,0.72596,0.46997,1.29455,0.02858,0.005248,0.005248,0.005248
50,2704.61,0.77804,0.55783,1.28325,0.04842,0.96228,0.97295,0.98885,0.81713,0.66466,0.4412,1.25013,0.02925,0.005149,0.005149,0.005149
51,2754.67,0.76869,0.54575,1.2733,0.048,0.96153,0.96927,0.98822,0.81529,0.69614,0.45224,1.28827,0.03395,0.00505,0.00505,0.00505
52,2805.34,0.76837,0.54785,1.27937,0.04648,0.97806,0.97139,0.98393,0.82585,0.67671,0.42713,1.24451,0.02791,0.004951,0.004951,0.004951
53,2855.46,0.74628,0.53466,1.26015,0.0495,0.97155,0.96815,0.98773,0.82734,0.67141,0.42366,1.27067,0.02892,0.004852,0.004852,0.004852
54,2905.31,0.75741,0.53421,1.26299,0.04174,0.97368,0.95579,0.98713,0.81756,0.69308,0.44212,1.29619,0.03397,0.004753,0.004753,0.004753
55,2955.63,0.75872,0.53581,1.27154,0.04784,0.96739,0.9514,0.98155,0.82402,0.68825,0.45021,1.27057,0.03528,0.004654,0.004654,0.004654
56,3006.68,0.75063,0.53768,1.26002,0.048,0.9559,0.97559,0.98346,0.81646,0.6997,0.44818,1.25578,0.03861,0.004555,0.004555,0.004555
57,3056.95,0.75946,0.5312,1.27873,0.04608,0.97463,0.97519,0.98987,0.82441,0.66001,0.43017,1.22568,0.03021,0.004456,0.004456,0.004456
58,3107.63,0.74627,0.53994,1.26929,0.05001,0.95688,0.97706,0.98901,0.82483,0.65571,0.44067,1.25351,0.03213,0.004357,0.004357,0.004357
59,3158.1,0.74014,0.52022,1.25649,0.04411,0.97099,0.97125,0.98655,0.82254,0.6532,0.42227,1.26236,0.02938,0.004258,0.004258,0.004258
60,3207.79,0.74736,0.52312,1.27776,0.04558,0.9653,0.97668,0.98611,0.82284,0.66918,0.43946,1.25613,0.02645,0.004159,0.004159,0.004159
61,3258,0.73915,0.51519,1.2551,0.04751,0.9792,0.96413,0.9806,0.81616,0.6744,0.43252,1.24522,0.02457,0.00406,0.00406,0.00406
62,3308.45,0.75003,0.52804,1.25469,0.05369,0.96505,0.96242,0.98108,0.81665,0.6833,0.44121,1.27644,0.02593,0.003961,0.003961,0.003961
63,3358.98,0.72547,0.51939,1.23767,0.04512,0.96933,0.97505,0.98938,0.83549,0.64861,0.412,1.24776,0.02416,0.003862,0.003862,0.003862
64,3408.79,0.72455,0.51101,1.25448,0.04633,0.9795,0.97008,0.98914,0.83816,0.65204,0.41515,1.24123,0.02896,0.003763,0.003763,0.003763
65,3459.23,0.72293,0.50476,1.24491,0.0447,0.97748,0.97097,0.99007,0.84218,0.6253,0.40142,1.22313,0.01917,0.003664,0.003664,0.003664
66,3509.22,0.70641,0.50591,1.20707,0.04448,0.97936,0.95933,0.98576,0.83404,0.65234,0.42942,1.24462,0.02378,0.003565,0.003565,0.003565
67,3559.6,0.70865,0.49826,1.24142,0.04631,0.97475,0.96578,0.99039,0.83394,0.63593,0.41113,1.22312,0.02933,0.003466,0.003466,0.003466
68,3611.33,0.71243,0.51505,1.23344,0.04285,0.98466,0.96709,0.98677,0.83441,0.6315,0.40313,1.22865,0.02736,0.003367,0.003367,0.003367
69,3661.86,0.70009,0.49022,1.21775,0.04113,0.98053,0.97027,0.98589,0.83408,0.64248,0.39955,1.23511,0.02848,0.003268,0.003268,0.003268
70,3712.56,0.70189,0.4875,1.21803,0.04166,0.97634,0.96784,0.98522,0.82554,0.64081,0.40663,1.23234,0.02299,0.003169,0.003169,0.003169
71,3762.34,0.69101,0.4902,1.2125,0.03963,0.97599,0.97199,0.98311,0.82947,0.63123,0.40404,1.2199,0.02187,0.00307,0.00307,0.00307
72,3812.28,0.70237,0.4903,1.22885,0.04157,0.97897,0.9646,0.98241,0.82937,0.63709,0.40606,1.22591,0.02309,0.002971,0.002971,0.002971
73,3862.69,0.7095,0.50471,1.22429,0.04263,0.96261,0.98404,0.9909,0.85092,0.61379,0.388,1.19741,0.02206,0.002872,0.002872,0.002872
74,3913.01,0.68345,0.47906,1.21023,0.03947,0.98561,0.97173,0.98366,0.8482,0.62132,0.38917,1.21046,0.02443,0.002773,0.002773,0.002773
75,3963.47,0.67891,0.47502,1.20809,0.03935,0.97264,0.97986,0.98829,0.83271,0.65838,0.42277,1.22312,0.02224,0.002674,0.002674,0.002674
76,4013.63,0.67057,0.46778,1.18514,0.03937,0.96095,0.98809,0.99049,0.844,0.63354,0.40259,1.21962,0.02343,0.002575,0.002575,0.002575
77,4063.55,0.67388,0.47132,1.20071,0.03725,0.96264,0.97769,0.99038,0.84768,0.62375,0.41448,1.20067,0.02097,0.002476,0.002476,0.002476
78,4115.03,0.69586,0.49081,1.21427,0.04188,0.98283,0.97048,0.98416,0.84605,0.61837,0.39979,1.20528,0.02177,0.002377,0.002377,0.002377
79,4164.88,0.66897,0.47136,1.20293,0.03962,0.97035,0.96799,0.98397,0.8473,0.63448,0.39807,1.21153,0.02149,0.002278,0.002278,0.002278
80,4215.5,0.67902,0.46443,1.20792,0.04268,0.97629,0.98601,0.99166,0.85649,0.60213,0.38962,1.19367,0.01804,0.002179,0.002179,0.002179
81,4266.32,0.64615,0.45854,1.17929,0.03872,0.97696,0.98451,0.98941,0.85424,0.6141,0.38919,1.20109,0.01966,0.00208,0.00208,0.00208
82,4317.63,0.66059,0.45563,1.18938,0.03979,0.9776,0.98293,0.9898,0.84319,0.61896,0.38795,1.18713,0.02156,0.001981,0.001981,0.001981
83,4368.01,0.66159,0.46265,1.18786,0.03885,0.9761,0.97913,0.98404,0.84622,0.62716,0.39724,1.20565,0.02246,0.001882,0.001882,0.001882
84,4418.08,0.66837,0.45762,1.20076,0.03861,0.96511,0.98212,0.98708,0.84519,0.62569,0.39003,1.21019,0.02172,0.001783,0.001783,0.001783
85,4468.87,0.66515,0.46603,1.18894,0.03802,0.97115,0.97705,0.98692,0.84459,0.6141,0.3938,1.21271,0.02055,0.001684,0.001684,0.001684
