epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,107.363,2.07683,3.67906,3.13154,0.17912,0.71272,0.41406,0.43886,0.2793,1.54539,2.39809,2.96507,0.11751,0.00326797,0.00326797,0.0705882
2,172.562,1.54115,1.82112,2.44434,0.12778,0.78597,0.79964,0.80812,0.47227,1.41068,1.49232,2.53386,0.16864,0.00653595,0.00653595,0.0405229
3,237.2,1.39725,1.28525,2.09836,0.10572,0.69534,0.82447,0.86442,0.53863,1.32274,1.3019,2.06114,0.16224,0.00973793,0.00973793,0.0103915
4,313.923,1.28348,1.12506,1.96083,0.09691,0.77449,0.86719,0.86019,0.57591,1.15929,1.2167,1.85935,0.09321,0.009703,0.009703,0.009703
5,382.645,1.24428,1.03884,1.83564,0.10298,0.78898,0.86203,0.86603,0.58303,1.11217,1.00421,1.82995,0.08934,0.009604,0.009604,0.009604
6,451.561,1.20836,0.97622,1.77152,0.09656,0.85097,0.92417,0.93741,0.63508,1.08051,0.83725,1.68548,0.11468,0.009505,0.009505,0.009505
7,541.728,1.15653,0.9184,1.72068,0.09504,0.83893,0.90211,0.90568,0.61741,1.05519,0.90947,1.67323,0.0957,0.009406,0.009406,0.009406
8,598.613,1.16682,0.90566,1.69095,0.1023,0.84693,0.92027,0.93641,0.62309,1.03386,0.74579,1.6235,0.08633,0.009307,0.009307,0.009307
9,653.05,1.09843,0.85702,1.63465,0.08646,0.89939,0.93714,0.9483,0.63946,0.96916,0.67801,1.58478,0.08775,0.009208,0.009208,0.009208
10,712.101,1.11171,0.8493,1.65109,0.09501,0.90577,0.9204,0.93921,0.63642,0.9916,0.69953,1.55418,0.09644,0.009109,0.009109,0.009109
11,777.797,1.0835,0.82869,1.60312,0.08979,0.91412,0.92984,0.95447,0.65318,1.0269,0.70459,1.57052,0.10533,0.00901,0.00901,0.00901
12,844.185,1.05864,0.78595,1.5512,0.09117,0.90518,0.92361,0.95358,0.70008,0.89532,0.74176,1.50942,0.07196,0.008911,0.008911,0.008911
13,909.059,1.01458,0.76361,1.53293,0.08585,0.92306,0.93936,0.9522,0.70061,0.90633,0.66142,1.51649,0.07004,0.008812,0.008812,0.008812
14,973.087,1.03149,0.77044,1.52254,0.08579,0.88196,0.94502,0.94784,0.70927,0.90298,0.63815,1.46367,0.06351,0.008713,0.008713,0.008713
15,1033.44,0.99707,0.76186,1.47615,0.08048,0.9378,0.9435,0.96993,0.74071,0.83867,0.58319,1.41611,0.07018,0.008614,0.008614,0.008614
16,1093.92,1.02313,0.75267,1.49859,0.07935,0.95518,0.91978,0.96997,0.70924,0.88843,0.61224,1.44651,0.05981,0.008515,0.008515,0.008515
17,1149.3,0.99339,0.72925,1.49272,0.07973,0.94643,0.94629,0.97005,0.72935,0.8543,0.61695,1.43547,0.08632,0.008416,0.008416,0.008416
18,1202.55,0.98115,0.72587,1.47229,0.08127,0.93716,0.94189,0.97184,0.72812,0.84104,0.59612,1.46523,0.06831,0.008317,0.008317,0.008317
19,1255.94,0.97476,0.72485,1.4531,0.07586,0.87446,0.95463,0.95203,0.71007,0.82612,0.633,1.41518,0.05021,0.008218,0.008218,0.008218
20,1312.84,0.93359,0.68862,1.41166,0.0739,0.91913,0.94893,0.97057,0.74732,0.85224,0.63606,1.45581,0.04144,0.008119,0.008119,0.008119
21,1368.27,0.96274,0.71063,1.43959,0.074,0.94348,0.94432,0.96901,0.75655,0.80625,0.57303,1.41212,0.05163,0.00802,0.00802,0.00802
22,1421.16,0.92457,0.66574,1.41044,0.06883,0.94635,0.92775,0.97031,0.74233,0.8244,0.59636,1.4154,0.08493,0.007921,0.007921,0.007921
23,1475.32,0.92234,0.68639,1.4084,0.0723,0.94386,0.95038,0.96304,0.74974,0.77346,0.58227,1.36113,0.05258,0.007822,0.007822,0.007822
24,1540.61,0.92964,0.67101,1.41812,0.07076,0.95785,0.93136,0.97938,0.7741,0.77118,0.5419,1.34368,0.04642,0.007723,0.007723,0.007723
25,1603.04,0.89899,0.65451,1.38043,0.06834,0.94831,0.94687,0.97164,0.78988,0.7669,0.50409,1.36293,0.04785,0.007624,0.007624,0.007624
26,1666.1,0.90855,0.66374,1.39306,0.06962,0.94422,0.95971,0.97096,0.75977,0.78574,0.55072,1.35004,0.0426,0.007525,0.007525,0.007525
27,1734.27,0.86998,0.64439,1.3543,0.06558,0.93449,0.95448,0.97253,0.7648,0.77445,0.53472,1.34753,0.04685,0.007426,0.007426,0.007426
28,1801.84,0.90567,0.65245,1.37866,0.06483,0.9256,0.94208,0.9696,0.76814,0.77491,0.60571,1.37518,0.0499,0.007327,0.007327,0.007327
29,1871.56,0.90744,0.66186,1.40475,0.0734,0.93417,0.955,0.97594,0.76551,0.80072,0.56452,1.41133,0.04181,0.007228,0.007228,0.007228
30,1924.55,0.87244,0.62278,1.35544,0.06333,0.94462,0.9585,0.97402,0.76976,0.79233,0.55296,1.41323,0.05662,0.007129,0.007129,0.007129
31,1976.27,0.88218,0.63648,1.36107,0.06721,0.94697,0.96983,0.9809,0.78399,0.72994,0.49503,1.34032,0.04235,0.00703,0.00703,0.00703
32,2029.36,0.87702,0.61943,1.3514,0.05944,0.95519,0.97016,0.97832,0.79422,0.74368,0.50505,1.35353,0.04001,0.006931,0.006931,0.006931
33,2081.57,0.86086,0.62533,1.3521,0.06096,0.94662,0.95327,0.97785,0.79149,0.75437,0.50472,1.34217,0.04097,0.006832,0.006832,0.006832
34,2134.03,0.85419,0.61753,1.34567,0.05845,0.94179,0.94704,0.97611,0.77986,0.75453,0.55755,1.36341,0.03436,0.006733,0.006733,0.006733
35,2186.46,0.84082,0.61786,1.33762,0.06178,0.96046,0.9408,0.97591,0.77512,0.76365,0.50899,1.34379,0.0426,0.006634,0.006634,0.006634
36,2238.4,0.86177,0.63083,1.35594,0.06104,0.96267,0.96228,0.98624,0.79581,0.70318,0.46933,1.30696,0.03407,0.006535,0.006535,0.006535
37,2291.02,0.8423,0.60856,1.33427,0.05832,0.94613,0.97138,0.98369,0.77334,0.74305,0.50421,1.34465,0.04668,0.006436,0.006436,0.006436
38,2343.78,0.842,0.60866,1.35271,0.06133,0.95816,0.96797,0.98361,0.8065,0.70797,0.48814,1.29705,0.0343,0.006337,0.006337,0.006337
39,2395.82,0.82462,0.59514,1.30721,0.05469,0.92787,0.98835,0.98767,0.79392,0.74515,0.48597,1.29972,0.03529,0.006238,0.006238,0.006238
40,2448.22,0.81693,0.58165,1.31203,0.05312,0.92823,0.94587,0.98734,0.82349,0.70588,0.47747,1.32119,0.03511,0.006139,0.006139,0.006139
41,2500.59,0.81827,0.59787,1.31808,0.05485,0.89721,0.95857,0.98383,0.81108,0.69935,0.48166,1.34063,0.03125,0.00604,0.00604,0.00604
42,2553.21,0.79276,0.57994,1.29276,0.05017,0.96013,0.96935,0.98646,0.81156,0.69755,0.45651,1.32247,0.0325,0.005941,0.005941,0.005941
43,2605.41,0.78634,0.55971,1.29735,0.051,0.96653,0.97306,0.98886,0.80369,0.73287,0.45818,1.29721,0.03739,0.005842,0.005842,0.005842
44,2657.92,0.809,0.57789,1.32187,0.05174,0.95142,0.95907,0.98487,0.8021,0.71498,0.48176,1.326,0.03318,0.005743,0.005743,0.005743
45,2710.14,0.7965,0.56106,1.29502,0.05516,0.95882,0.96698,0.98476,0.81826,0.68273,0.46023,1.30625,0.02643,0.005644,0.005644,0.005644
46,2762.5,0.7904,0.56215,1.28425,0.05217,0.94994,0.97042,0.98532,0.81867,0.69807,0.45897,1.27081,0.02669,0.005545,0.005545,0.005545
47,2814.76,0.79106,0.5598,1.28796,0.05196,0.97735,0.9582,0.98608,0.82843,0.66144,0.44901,1.26887,0.02451,0.005446,0.005446,0.005446
48,2866.75,0.77447,0.54754,1.29121,0.05074,0.95859,0.97525,0.98786,0.81522,0.67631,0.46996,1.26646,0.02684,0.005347,0.005347,0.005347
49,2919.31,0.76565,0.54324,1.28605,0.05282,0.954,0.97048,0.98552,0.8178,0.69879,0.47717,1.31959,0.0373,0.005248,0.005248,0.005248
50,2971.22,0.76897,0.54934,1.28406,0.05041,0.96374,0.96429,0.98566,0.80798,0.69825,0.45524,1.27663,0.03025,0.005149,0.005149,0.005149
51,3023.53,0.78535,0.557,1.28768,0.05508,0.96562,0.96102,0.98862,0.81701,0.67564,0.44382,1.27909,0.02331,0.00505,0.00505,0.00505
52,3075.68,0.77059,0.55019,1.29311,0.05142,0.96566,0.97151,0.98961,0.821,0.67314,0.43275,1.2751,0.02355,0.004951,0.004951,0.004951
53,3128.03,0.74393,0.52165,1.25312,0.04843,0.97318,0.98195,0.99003,0.83572,0.65097,0.42715,1.24123,0.02871,0.004852,0.004852,0.004852
54,3180.1,0.74916,0.53862,1.25483,0.04756,0.97151,0.96497,0.988,0.81883,0.65065,0.44032,1.26567,0.02548,0.004753,0.004753,0.004753
55,3232.12,0.7614,0.53407,1.26364,0.05026,0.9466,0.96548,0.98623,0.81768,0.68983,0.45877,1.28864,0.04191,0.004654,0.004654,0.004654
56,3284.21,0.75998,0.53206,1.26357,0.04865,0.96967,0.9678,0.98772,0.82404,0.68247,0.45697,1.2688,0.02405,0.004555,0.004555,0.004555
57,3335.84,0.74185,0.54185,1.26386,0.04574,0.96198,0.96258,0.98753,0.82826,0.66021,0.44755,1.24836,0.03241,0.004456,0.004456,0.004456
58,3387.97,0.74687,0.52683,1.26565,0.05283,0.96178,0.97749,0.9892,0.8327,0.66264,0.42092,1.27485,0.03101,0.004357,0.004357,0.004357
59,3440.18,0.74784,0.52235,1.27086,0.04938,0.97461,0.97181,0.98848,0.8404,0.65297,0.4059,1.27625,0.02445,0.004258,0.004258,0.004258
60,3492.29,0.73313,0.51807,1.24457,0.04562,0.94771,0.97485,0.98559,0.83253,0.64944,0.4468,1.27286,0.02575,0.004159,0.004159,0.004159
61,3544.75,0.73994,0.52402,1.26128,0.04685,0.96828,0.97834,0.98872,0.83872,0.6545,0.42278,1.26501,0.02625,0.00406,0.00406,0.00406
62,3597.1,0.74583,0.51261,1.26267,0.04402,0.96949,0.97304,0.98888,0.83841,0.65566,0.41628,1.2499,0.0236,0.003961,0.003961,0.003961
63,3649.1,0.7334,0.51701,1.26471,0.04739,0.95994,0.974,0.9871,0.83371,0.66417,0.42808,1.28451,0.0318,0.003862,0.003862,0.003862
64,3701.79,0.72037,0.51817,1.22678,0.04403,0.96242,0.96712,0.98867,0.84378,0.65192,0.41993,1.27753,0.02494,0.003763,0.003763,0.003763
65,3755.62,0.73562,0.51037,1.24749,0.04736,0.97799,0.95781,0.98928,0.8447,0.64351,0.4227,1.27178,0.03228,0.003664,0.003664,0.003664
66,3807.97,0.71147,0.50688,1.20931,0.04305,0.96813,0.96772,0.98672,0.82844,0.67107,0.44775,1.26897,0.02379,0.003565,0.003565,0.003565
67,3859.84,0.72076,0.50471,1.23464,0.04728,0.9733,0.97139,0.98888,0.84257,0.64364,0.41999,1.26771,0.02358,0.003466,0.003466,0.003466
68,3911.11,0.69867,0.49856,1.20828,0.03986,0.9673,0.9744,0.98744,0.84656,0.62723,0.39528,1.25179,0.0194,0.003367,0.003367,0.003367
69,3963.59,0.72315,0.50587,1.23839,0.04256,0.96273,0.96624,0.98817,0.83952,0.63803,0.40184,1.24196,0.02255,0.003268,0.003268,0.003268
70,4015.72,0.71619,0.49308,1.22285,0.04508,0.97567,0.96946,0.98881,0.8444,0.63327,0.40252,1.24062,0.02127,0.003169,0.003169,0.003169
71,4067.69,0.71323,0.49793,1.23205,0.04227,0.96799,0.97723,0.98994,0.84777,0.62739,0.40682,1.23441,0.0192,0.00307,0.00307,0.00307
72,4120.26,0.69789,0.49009,1.22708,0.03916,0.97681,0.97484,0.98876,0.85229,0.61115,0.397,1.22783,0.0201,0.002971,0.002971,0.002971
73,4172.17,0.70923,0.50372,1.23113,0.04435,0.98305,0.97564,0.98895,0.84411,0.6345,0.39967,1.26306,0.0224,0.002872,0.002872,0.002872
74,4224.87,0.68438,0.48602,1.2211,0.04056,0.98216,0.96741,0.98719,0.84635,0.63773,0.39862,1.25325,0.02065,0.002773,0.002773,0.002773
75,4277.24,0.68703,0.47664,1.2157,0.04244,0.96917,0.97548,0.99002,0.84538,0.63841,0.39106,1.26301,0.02177,0.002674,0.002674,0.002674
76,4330.2,0.69274,0.47996,1.20931,0.04377,0.97675,0.97435,0.98962,0.84226,0.64233,0.40775,1.24938,0.01883,0.002575,0.002575,0.002575
77,4382.55,0.68674,0.48821,1.20569,0.03826,0.96024,0.98296,0.98974,0.84725,0.63003,0.40202,1.23884,0.02217,0.002476,0.002476,0.002476
78,4434.54,0.68882,0.49238,1.20958,0.0381,0.95434,0.97715,0.9874,0.84489,0.62656,0.41589,1.23243,0.02122,0.002377,0.002377,0.002377
79,4487.14,0.66194,0.46957,1.19585,0.03873,0.97856,0.97657,0.98773,0.84506,0.6166,0.39902,1.22677,0.02182,0.002278,0.002278,0.002278
80,4539.26,0.66735,0.47238,1.19345,0.03886,0.97387,0.96778,0.98833,0.84386,0.63669,0.41517,1.23383,0.02517,0.002179,0.002179,0.002179
81,4591.44,0.67163,0.47641,1.19315,0.04403,0.9724,0.98801,0.98857,0.85056,0.61034,0.39547,1.21299,0.01971,0.00208,0.00208,0.00208
82,4643.24,0.66515,0.46959,1.20133,0.0366,0.98033,0.97972,0.98782,0.84128,0.62169,0.39014,1.22436,0.02297,0.001981,0.001981,0.001981
83,4695.55,0.6751,0.47009,1.19772,0.04116,0.9825,0.97787,0.98667,0.84713,0.60873,0.39534,1.20823,0.01675,0.001882,0.001882,0.001882
84,4748.14,0.67098,0.47253,1.19907,0.04179,0.96925,0.97199,0.98857,0.8495,0.63247,0.39777,1.22263,0.01801,0.001783,0.001783,0.001783
85,4800.34,0.67123,0.46793,1.19208,0.03998,0.98283,0.96846,0.98889,0.85087,0.616,0.38251,1.24805,0.01672,0.001684,0.001684,0.001684
86,4852.31,0.68531,0.47593,1.20015,0.04045,0.96983,0.96071,0.98807,0.85106,0.61865,0.3952,1.23663,0.02242,0.001585,0.001585,0.001585
87,4904.88,0.6577,0.47153,1.19149,0.03791,0.98045,0.96594,0.98784,0.84449,0.61497,0.3921,1.22824,0.01898,0.001486,0.001486,0.001486
88,4957.34,0.66154,0.46033,1.18605,0.04264,0.98236,0.97406,0.98792,0.84602,0.61082,0.38928,1.21315,0.018,0.001387,0.001387,0.001387
89,5010.24,0.64057,0.45416,1.17694,0.03788,0.97297,0.9677,0.98848,0.8501,0.61319,0.38898,1.24088,0.02005,0.001288,0.001288,0.001288
90,5062.54,0.63971,0.4428,1.16066,0.03724,0.97198,0.97901,0.98675,0.84914,0.61376,0.38573,1.21533,0.01757,0.001189,0.001189,0.001189
91,5111.35,0.52751,0.35819,1.12314,0.01951,0.97658,0.97136,0.98575,0.84763,0.61181,0.39859,1.22429,0.01993,0.00109,0.00109,0.00109
92,5160.07,0.52415,0.35889,1.09849,0.01878,0.96638,0.98309,0.98535,0.84435,0.60946,0.39216,1.23634,0.02158,0.000991,0.000991,0.000991
93,5208.57,0.50826,0.34718,1.09294,0.01867,0.9724,0.98282,0.98874,0.84723,0.61637,0.38908,1.23305,0.02148,0.000892,0.000892,0.000892
94,5258.3,0.50917,0.34439,1.09159,0.01857,0.96329,0.98208,0.98901,0.84447,0.61759,0.38843,1.24048,0.02184,0.000793,0.000793,0.000793
95,5307.57,0.49564,0.33773,1.06327,0.01825,0.97185,0.97145,0.98866,0.85671,0.61714,0.38409,1.23249,0.01971,0.000694,0.000694,0.000694
96,5356.52,0.50042,0.3441,1.08631,0.0186,0.98681,0.97631,0.98716,0.84753,0.60506,0.38544,1.20596,0.02018,0.000595,0.000595,0.000595
97,5405.6,0.49602,0.33893,1.07536,0.01783,0.98397,0.98001,0.98882,0.85658,0.59666,0.38106,1.21278,0.01939,0.000496,0.000496,0.000496
98,5454.6,0.48495,0.3318,1.06683,0.0171,0.98105,0.98024,0.98878,0.85176,0.59908,0.37972,1.20701,0.01895,0.000397,0.000397,0.000397
99,5503.27,0.48003,0.33001,1.05265,0.01639,0.98262,0.97826,0.98919,0.85453,0.60056,0.37319,1.20718,0.01981,0.000298,0.000298,0.000298
100,5552.48,0.48511,0.33211,1.07368,0.01706,0.98249,0.97867,0.98931,0.85549,0.59342,0.37045,1.20719,0.01907,0.000199,0.000199,0.000199
