epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,1454.86,0.85952,0.62358,1.35304,0.06779,0.90535,0.93966,0.95279,0.76229,0.79569,0.61344,1.36147,0.05511,0.008779,0.008779,0.008779
39,1490.39,0.85119,0.61512,1.34637,0.06621,0.96748,0.94179,0.97886,0.78565,0.72237,0.50916,1.35484,0.04006,0.008746,0.008746,0.008746
40,1526.13,0.84817,0.61114,1.34567,0.06481,0.95257,0.9559,0.98406,0.81172,0.71874,0.48775,1.30837,0.04112,0.008713,0.008713,0.008713
41,1562.01,0.85632,0.61738,1.35061,0.05689,0.96089,0.95606,0.97944,0.7795,0.74458,0.49832,1.34124,0.03655,0.00868,0.00868,0.00868
42,1597.24,0.84437,0.63299,1.3538,0.0618,0.95831,0.9599,0.98521,0.80814,0.71277,0.5091,1.32156,0.03034,0.008647,0.008647,0.008647
43,1632.65,0.84692,0.59938,1.3322,0.05567,0.94336,0.96625,0.96615,0.79194,0.70369,0.49277,1.29534,0.03372,0.008614,0.008614,0.008614
44,1668.23,0.83274,0.60052,1.35004,0.05478,0.97071,0.95287,0.98435,0.77519,0.77994,0.54263,1.346,0.03668,0.008581,0.008581,0.008581
45,1703.52,0.85229,0.61757,1.36023,0.0613,0.95417,0.9657,0.9778,0.77302,0.78578,0.51669,1.35235,0.031,0.008548,0.008548,0.008548
46,1738.64,0.83019,0.5959,1.33964,0.05689,0.97672,0.95863,0.98301,0.76657,0.77036,0.52969,1.35723,0.03375,0.008515,0.008515,0.008515
47,1773.96,0.80916,0.58241,1.32297,0.05405,0.95976,0.96018,0.98431,0.78346,0.70476,0.47593,1.27798,0.03229,0.008482,0.008482,0.008482
48,1809.57,0.83764,0.59841,1.3323,0.05568,0.95226,0.97199,0.98364,0.79953,0.72525,0.48242,1.314,0.04311,0.008449,0.008449,0.008449
49,1845.53,0.8069,0.57834,1.30254,0.05408,0.95216,0.97303,0.98398,0.80481,0.69491,0.5005,1.30549,0.03375,0.008416,0.008416,0.008416
50,1881.14,0.80685,0.57961,1.31482,0.06075,0.96019,0.96819,0.98624,0.79474,0.70562,0.49231,1.31073,0.0306,0.008383,0.008383,0.008383
51,1916.6,0.8058,0.56178,1.31444,0.05259,0.97281,0.96504,0.98992,0.79774,0.71256,0.46083,1.30309,0.0367,0.00835,0.00835,0.00835
52,1951.77,0.83083,0.59384,1.32269,0.061,0.93437,0.95997,0.98422,0.79967,0.72328,0.5158,1.32122,0.03694,0.008317,0.008317,0.008317
53,1987.16,0.81064,0.57847,1.3272,0.05735,0.95616,0.94071,0.97852,0.7871,0.74707,0.49041,1.28433,0.03798,0.008284,0.008284,0.008284
54,2022.47,0.80756,0.57221,1.30839,0.04996,0.95828,0.95506,0.98547,0.80224,0.71165,0.47828,1.27728,0.03727,0.008251,0.008251,0.008251
55,2057.93,0.82498,0.59752,1.32673,0.05726,0.96857,0.9641,0.98759,0.79735,0.71034,0.48602,1.29703,0.03048,0.008218,0.008218,0.008218
56,2093.52,0.79516,0.57049,1.28941,0.04876,0.9391,0.97,0.98355,0.80884,0.70052,0.49635,1.30577,0.03344,0.008185,0.008185,0.008185
57,2128.76,0.80727,0.57173,1.3061,0.0568,0.96184,0.96263,0.98246,0.78829,0.73036,0.49892,1.32687,0.03449,0.008152,0.008152,0.008152
58,2164.81,0.79566,0.55621,1.31061,0.0529,0.9667,0.97201,0.98649,0.81101,0.69783,0.45681,1.31188,0.04044,0.008119,0.008119,0.008119
59,2200.37,0.81329,0.56763,1.32594,0.05432,0.96956,0.969,0.98563,0.79961,0.69171,0.44971,1.27486,0.03106,0.008086,0.008086,0.008086
60,2235.8,0.80566,0.56893,1.30571,0.0501,0.95817,0.94932,0.98269,0.81546,0.70685,0.47386,1.30119,0.03112,0.008053,0.008053,0.008053
61,2271.28,0.78258,0.54501,1.30229,0.05203,0.9619,0.95463,0.98625,0.82203,0.67951,0.45701,1.28144,0.03208,0.00802,0.00802,0.00802
62,2306.6,0.78158,0.56032,1.30388,0.05304,0.97548,0.9624,0.98147,0.81148,0.6734,0.47641,1.27975,0.02703,0.007987,0.007987,0.007987
