epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,1871.64,1.38947,1.16866,2.19596,0.15892,0.80393,0.91957,0.93288,0.61134,1.24729,1.04675,2.05849,0.09376,0.006337,0.006337,0.006337
39,1916.67,1.3823,1.15568,2.16851,0.1492,0.80822,0.86291,0.90055,0.55938,1.27319,1.12542,2.10578,0.10503,0.006238,0.006238,0.006238
40,1959.92,1.41201,1.19337,2.21959,0.14483,0.8421,0.86426,0.93185,0.5686,1.25159,1.08779,2.05779,0.0888,0.006139,0.006139,0.006139
41,2002.8,1.3633,1.14696,2.12686,0.14596,0.8661,0.87941,0.9135,0.58291,1.24427,1.13384,2.03105,0.10875,0.00604,0.00604,0.00604
42,2046.77,1.38172,1.14673,2.16796,0.14967,0.83577,0.89663,0.91957,0.60284,1.22228,1.08476,2.02962,0.1191,0.005941,0.005941,0.005941
43,2089.58,1.35846,1.14737,2.13653,0.13648,0.8544,0.8884,0.92955,0.59213,1.21889,1.03679,2.0026,0.10061,0.005842,0.005842,0.005842
44,2134.48,1.3152,1.11498,2.12351,0.13939,0.8471,0.9152,0.93551,0.59219,1.199,1.00625,1.97905,0.1128,0.005743,0.005743,0.005743
45,2185.21,1.38249,1.13292,2.14539,0.1408,0.87486,0.90073,0.93607,0.61751,1.1954,1.0135,2.00064,0.09289,0.005644,0.005644,0.005644
46,2235.98,1.324,1.09136,2.10548,0.14311,0.83821,0.89353,0.91735,0.61597,1.20454,1.25206,2.00345,0.08879,0.005545,0.005545,0.005545
47,2280.79,1.35959,1.12301,2.1285,0.14315,0.83146,0.89712,0.92286,0.60131,1.19011,1.07569,1.95906,0.09989,0.005446,0.005446,0.005446
