epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7533,2.1202,3.74583,3.1894,0.18385,0.6607,0.39567,0.43149,0.27282,1.57471,2.49244,2.84082,0.12941,0.00327485,0.00327485,0.0705263
2,152.671,1.5692,1.86903,2.39565,0.12657,0.77684,0.80301,0.84579,0.51928,1.24611,1.35002,2.34797,0.12226,0.00654277,0.00654277,0.0404609
3,211.033,1.34699,1.24468,2.06555,0.11393,0.79857,0.82476,0.87783,0.54146,1.24322,1.0751,2.02463,0.11911,0.00974468,0.00974468,0.0103295
4,270.801,1.28567,1.09009,1.95829,0.11279,0.82881,0.8472,0.86446,0.52671,1.22839,1.17984,1.84914,0.13435,0.009703,0.009703,0.009703
5,338.821,1.25015,1.0462,1.8621,0.11273,0.8662,0.87903,0.92348,0.63706,1.06305,0.97658,1.81095,0.1087,0.009604,0.009604,0.009604
6,424.866,1.19215,0.96452,1.77769,0.10814,0.91316,0.9208,0.94843,0.65599,1.03733,0.81034,1.72372,0.08256,0.009505,0.009505,0.009505
7,488.573,1.15761,0.90005,1.77275,0.10081,0.82395,0.79423,0.86445,0.57435,1.13651,0.95048,1.79359,0.11524,0.009406,0.009406,0.009406
8,547.478,1.13142,0.90319,1.70721,0.10409,0.90829,0.92151,0.9525,0.69898,0.95758,0.70958,1.63458,0.08641,0.009307,0.009307,0.009307
9,606.294,1.08553,0.83809,1.63214,0.09295,0.7518,0.93849,0.93843,0.64938,0.97438,0.76207,1.62262,0.1025,0.009208,0.009208,0.009208
10,666.378,1.08607,0.81333,1.60299,0.09606,0.91145,0.94946,0.95583,0.71791,0.88025,0.64222,1.54014,0.06723,0.009109,0.009109,0.009109
11,742.609,1.05462,0.80371,1.57397,0.0945,0.90094,0.95552,0.96226,0.70669,0.92557,0.71499,1.58332,0.06691,0.00901,0.00901,0.00901
12,807.626,1.07362,0.79774,1.56448,0.09611,0.8551,0.90068,0.93014,0.68043,1.01373,0.95036,1.58194,0.09237,0.008911,0.008911,0.008911
13,866.944,1.03582,0.76158,1.55029,0.0901,0.92746,0.94021,0.96289,0.73481,0.89546,0.66879,1.46966,0.05636,0.008812,0.008812,0.008812
14,933.702,1.04995,0.78805,1.54207,0.09075,0.83606,0.90126,0.94304,0.65502,0.98888,0.87313,1.56307,0.0735,0.008713,0.008713,0.008713
15,991.108,1.02517,0.79077,1.51687,0.08395,0.95799,0.94498,0.97302,0.72227,0.88638,0.60348,1.47516,0.06141,0.008614,0.008614,0.008614
16,1050.63,1.00025,0.73535,1.49289,0.08144,0.89172,0.93783,0.94457,0.73787,0.87072,0.81332,1.51399,0.06337,0.008515,0.008515,0.008515
17,1126.24,0.97486,0.73494,1.44558,0.08216,0.877,0.88579,0.96047,0.66801,0.94856,0.93787,1.50137,0.07515,0.008416,0.008416,0.008416
18,1202.38,0.96053,0.71553,1.4248,0.07925,0.91511,0.94673,0.96795,0.75033,0.84553,0.57808,1.41893,0.06288,0.008317,0.008317,0.008317
19,1277.19,0.96432,0.70574,1.42549,0.07911,0.9102,0.96427,0.96918,0.75731,0.8462,0.58437,1.42903,0.05064,0.008218,0.008218,0.008218
20,1348.53,0.95006,0.69918,1.43123,0.07259,0.93122,0.9535,0.97039,0.75443,0.81575,0.61086,1.40875,0.04507,0.008119,0.008119,0.008119
21,1410.62,0.95969,0.70115,1.42379,0.07834,0.97427,0.94359,0.98743,0.77244,0.81756,0.51875,1.42436,0.05164,0.00802,0.00802,0.00802
